2026-03-23 13:22:08 | INFO     | scraper.gem | [GEM] Page 9 for 'Supply & implementation of Vendor data'
2026-03-23 13:22:12 | INFO     | scraper.gem | [GEM] Page 5 for 'Data Validation (deduplication, cleansing)'
2026-03-23 13:22:12 | INFO     | scraper.gem | [GEM] Page 10 for 'Supply & implementation of Vendor data'
2026-03-23 13:22:15 | INFO     | scraper.gem | [GEM] Page 6 for 'Data Validation (deduplication, cleansing)'
2026-03-23 13:22:16 | INFO     | scraper.gem | [gem] Got 0 results for 'Supply & implementation of Vendor data'
2026-03-23 13:22:16 | INFO     | scraper.gem | [gem] Scraping keyword: Data Validation (deduplication, cleansing)
2026-03-23 13:22:19 | INFO     | scraper.gem | [GEM] Page 7 for 'Data Validation (deduplication, cleansing)'
2026-03-23 13:22:23 | INFO     | scraper.gem | [GEM] Page 8 for 'Data Validation (deduplication, cleansing)'
2026-03-23 13:22:25 | INFO     | scraper.gem | [GEM] Page 1 for 'Data Validation (deduplication, cleansing)'
2026-03-23 13:22:27 | INFO     | scraper.gem | [GEM] Page 9 for 'Data Validation (deduplication, cleansing)'
2026-03-23 13:22:29 | INFO     | scraper.gem | [GEM] Page 2 for 'Data Validation (deduplication, cleansing)'
