	ntdll!RtlGetAppContainerNamedObjectPath [0x7748d7c1+231]

2026-03-23 15:55:03 | WARNING  | scraper.tenderdetail | safe_get attempt 2/3 failed: Message: invalid session id
Stacktrace:
	chromedriver!GetHandleVerifier [0x477c13+10dd3]
	chromedriver!GetHandleVerifier [0x477d44+10f04]
	chromedriver!(No symbol) [0x251d8e]
	chromedriver!(No symbol) [0x28f2b5]
	chromedriver!(No symbol) [0x2bd7c6]
	chromedriver!(No symbol) [0x2b8c41]
	chromedriver!(No symbol) [0x2b8262]
	chromedriver!(No symbol) [0x22517e]
	chromedriver!(No symbol) [0x22571e]
	chromedriver!(No symbol) [0x225bfd]
	chromedriver!GetHandleVerifier [0x6d4509+26d6c9]
	chromedriver!GetHandleVerifier [0x6cfb43+268d03]
	chromedriver!GetHandleVerifier [0x6ed85b+286a1b]
	chromedriver!GetHandleVerifier [0x491668+2a828]
	chromedriver!GetHandleVerifier [0x4997fd+329bd]
	chromedriver!(No symbol) [0x224ee9]
	chromedriver!(No symbol) [0x224530]
	chromedriver!GetHandleVerifier [0x81dc9f+3b6e5f]
	KERNEL32!BaseThreadInitThunk [0x762c5d49+19]
	ntdll!RtlInitializeExceptionChain [0x7748d83b+6b]
	ntdll!RtlGetAppContainerNamedObjectPath [0x7748d7c1+231]

2026-03-23 15:55:11 | WARNING  | scraper.tenderdetail | safe_get attempt 3/3 failed: Message: invalid session id
Stacktrace:
	chromedriver!GetHandleVerifier [0x477c13+10dd3]
	chromedriver!GetHandleVerifier [0x477d44+10f04]
	chromedriver!(No symbol) [0x251d8e]
	chromedriver!(No symbol) [0x28f2b5]
	chromedriver!(No symbol) [0x2bd7c6]
	chromedriver!(No symbol) [0x2b8c41]
	chromedriver!(No symbol) [0x2b8262]
	chromedriver!(No symbol) [0x22517e]
	chromedriver!(No symbol) [0x22571e]
	chromedriver!(No symbol) [0x225bfd]
	chromedriver!GetHandleVerifier [0x6d4509+26d6c9]
	chromedriver!GetHandleVerifier [0x6cfb43+268d03]
	chromedriver!GetHandleVerifier [0x6ed85b+286a1b]
	chromedriver!GetHandleVerifier [0x491668+2a828]
	chromedriver!GetHandleVerifier [0x4997fd+329bd]
	chromedriver!(No symbol) [0x224ee9]
	chromedriver!(No symbol) [0x224530]
	chromedriver!GetHandleVerifier [0x81dc9f+3b6e5f]
	KERNEL32!BaseThreadInitThunk [0x762c5d49+19]
	ntdll!RtlInitializeExceptionChain [0x7748d83b+6b]
	ntdll!RtlGetAppContainerNamedObjectPath [0x7748d7c1+231]

2026-03-23 15:55:11 | INFO     | scraper.tenderdetail | [TenderDetail] page 1 for 'Master data management'
2026-03-23 15:55:11 | ERROR    | scraper.tenderdetail | [TenderDetail] scrape error: Message: invalid session id
Stacktrace:
	chromedriver!GetHandleVerifier [0x477c13+10dd3]
	chromedriver!GetHandleVerifier [0x477d44+10f04]
	chromedriver!(No symbol) [0x251d8e]
	chromedriver!(No symbol) [0x28f2b5]
	chromedriver!(No symbol) [0x2bd7c6]
	chromedriver!(No symbol) [0x2b8c41]
	chromedriver!(No symbol) [0x2b8262]
	chromedriver!(No symbol) [0x22517e]
	chromedriver!(No symbol) [0x22571e]
	chromedriver!(No symbol) [0x225bfd]
	chromedriver!GetHandleVerifier [0x6d4509+26d6c9]
	chromedriver!GetHandleVerifier [0x6cfb43+268d03]
	chromedriver!GetHandleVerifier [0x6ed85b+286a1b]
	chromedriver!GetHandleVerifier [0x491668+2a828]
	chromedriver!GetHandleVerifier [0x4997fd+329bd]
	chromedriver!(No symbol) [0x224ee9]
	chromedriver!(No symbol) [0x224530]
	chromedriver!GetHandleVerifier [0x81dc9f+3b6e5f]
	KERNEL32!BaseThreadInitThunk [0x762c5d49+19]
	ntdll!RtlInitializeExceptionChain [0x7748d83b+6b]
	ntdll!RtlGetAppContainerNamedObjectPath [0x7748d7c1+231]

2026-03-23 15:55:11 | INFO     | scraper.tenderdetail | [tenderdetail] Got 0 results for 'Master data management'
2026-03-23 15:55:11 | INFO     | scraper.tenderdetail | [tenderdetail] Scraping keyword: Material master data cleansing
2026-03-23 15:55:11 | WARNING  | scraper.tenderdetail | safe_get attempt 1/3 failed: Message: invalid session id
Stacktrace:
	chromedriver!GetHandleVerifier [0x477c13+10dd3]
	chromedriver!GetHandleVerifier [0x477d44+10f04]
	chromedriver!(No symbol) [0x251d8e]
	chromedriver!(No symbol) [0x28f2b5]
	chromedriver!(No symbol) [0x2bd7c6]
	chromedriver!(No symbol) [0x2b8c41]
	chromedriver!(No symbol) [0x2b8262]
	chromedriver!(No symbol) [0x22517e]
	chromedriver!(No symbol) [0x22571e]
	chromedriver!(No symbol) [0x225bfd]
	chromedriver!GetHandleVerifier [0x6d4509+26d6c9]
	chromedriver!GetHandleVerifier [0x6cfb43+268d03]
	chromedriver!GetHandleVerifier [0x6ed85b+286a1b]
	chromedriver!GetHandleVerifier [0x491668+2a828]
	chromedriver!GetHandleVerifier [0x4997fd+329bd]
	chromedriver!(No symbol) [0x224ee9]
	chromedriver!(No symbol) [0x224530]
	chromedriver!GetHandleVerifier [0x81dc9f+3b6e5f]
	KERNEL32!BaseThreadInitThunk [0x762c5d49+19]
	ntdll!RtlInitializeExceptionChain [0x7748d83b+6b]
	ntdll!RtlGetAppContainerNamedObjectPath [0x7748d7c1+231]

2026-03-23 15:55:15 | WARNING  | scraper.tenderdetail | safe_get attempt 2/3 failed: Message: invalid session id
Stacktrace:
	chromedriver!GetHandleVerifier [0x477c13+10dd3]
	chromedriver!GetHandleVerifier [0x477d44+10f04]
	chromedriver!(No symbol) [0x251d8e]
	chromedriver!(No symbol) [0x28f2b5]
	chromedriver!(No symbol) [0x2bd7c6]
	chromedriver!(No symbol) [0x2b8c41]
	chromedriver!(No symbol) [0x2b8262]
	chromedriver!(No symbol) [0x22517e]
	chromedriver!(No symbol) [0x22571e]
	chromedriver!(No symbol) [0x225bfd]
	chromedriver!GetHandleVerifier [0x6d4509+26d6c9]
	chromedriver!GetHandleVerifier [0x6cfb43+268d03]
	chromedriver!GetHandleVerifier [0x6ed85b+286a1b]
	chromedriver!GetHandleVerifier [0x491668+2a828]
	chromedriver!GetHandleVerifier [0x4997fd+329bd]
