2026-04-08 10:02:37 | INFO     | scraper_service | Redis connected
2026-04-08 10:04:29 | INFO     | scraper_service | Redis connected
2026-04-08 10:07:15 | ERROR    | scraper_service | [tender247] failed: [WinError 5] Access is denied: 'C:\\Users\\LEONEX\\.wdm\\drivers\\chromedriver\\win64\\146.0.7680.165\\chromedriver-win32\\chromedriver.exe' -> 'C:\\Users\\LEONEX\\.wdm\\drivers\\chromedriver\\win64\\146.0.7680.165\\chromedriver.exe'
2026-04-08 10:07:15 | ERROR    | scraper_service | [gem] failed: [WinError 5] Access is denied: 'C:\\Users\\LEONEX\\.wdm\\drivers\\chromedriver\\win64\\146.0.7680.165\\chromedriver-win32\\chromedriver.exe' -> 'C:\\Users\\LEONEX\\.wdm\\drivers\\chromedriver\\win64\\146.0.7680.165\\chromedriver.exe'
2026-04-08 10:22:24 | INFO     | scraper_service | [tenderdetail] completed — found=17 saved=17
2026-04-08 10:31:23 | INFO     | scraper_service | [tender247] completed — found=36 saved=36
2026-04-08 10:38:01 | INFO     | scraper_service | [gem] completed — found=6 saved=6
2026-04-08 10:38:42 | INFO     | scraper_service | [biddetail] completed — found=103 saved=103
2026-04-08 10:46:19 | INFO     | scraper_service | [tenderontime] completed — found=81 saved=81
2026-04-08 10:53:03 | INFO     | scraper_service | Redis connected
2026-04-08 10:53:05 | INFO     | scraper_service | Redis connected
2026-04-08 10:53:23 | INFO     | scraper_service | Redis connected
2026-04-08 10:53:24 | INFO     | scraper_service | Redis connected
